=== SHEET: FIESTA===
KODE PRODUK & HARGA JUAL
No | Kode Produk | Nama Produk | Isi | Gr | Harga Jual
1 | 12010111 | 15 FS CRISPY BUBBLE NUGGT 400G | 12 | 400 | 38650
2 | 12010112 | 15 FS NUGGET 12X400G | 12 | 400 | 43575
3 | 12010113 | 15 FS CHICKEN NUGGET 24X200G | 24 | 200 | 23400
4 | 12010115 | 15 FS NUGGET ZOO 400GX12 | 12 | 400 | 46200
5 | 12010116 | 15 FS NUGGET DINO 12X400G | 12 | 400 | 46200
6 | 12010117 | 15 FS HAPPY STAR 400GX 12 | 12 | 400 | 46200
7 | 12010121 | 15 FS NUGGET PIZZA ABC 400GX12 | 12 | 400 | 44375
8 | 12010122 | 15 FS CHEESY LOVER 12X400G | 12 | 400 | 56500
9 | 12010127 | 15 FIESTA SPICY NUGGET 400GR | 10 | 400 | 43575
10 | 12010129 | FS CHEESY BOMBS CHIKNUG 400X12 | 12 | 400 | 45500
11 | 12010402 | GOLDEN FS NUGET PINEAP10X500G | 10 | 500 | 58800
12 | 12010501 | 15 CHAMP NUGGET 250 GR | 20 | 250 | 22525
13 | 12010509 | 15 CHAMP CRUNCHY NUGET 450GR | 10 | 450 | 36225
14 | 12010510 | 15 CHAMP NAGET AYAMKOM 22X225G | 22 | 225 | 18300
15 | 12010511 | 15 CHAMP AYAM KOMBINASI 450X12 | 12 | 450 | 36225
16 | 12010512 | 15 CHAMP NUGGET AYAMKOM 900X6 | 6 | 900 | 64025
17 | 12010514 | 15 CHAMP NAGET ABC KOM 450GX12 | 12 | 450 | 35975
18 | 12010515 | CHAMP KOIN KOM 450GR | 12 | 450 | 35975
19 | 12010517 | 15 CHAMP NAGET KOM STIK 225X22 | 22 | 225 | 20275
20 | 12010518 | 15 CHAMP NAGET KOM STIK 450 | 12 | 450 | 38975
21 | 12010521 | CHAMP NUGET HOT LV 5 450GR | 12 | 450 | 43265
22 | 12010606 | 15 CHAMP CRUNCY NUGGET 25X225 | 25 | 225 | 18300
23 | 12010801 | 15 OKEY NUGGET 10X500GR | 10 | 500 | 24200
24 | 12012201 | 15 ASIMO NAGET KOMBINASI 500GR | 10 | 500 | 20850
25 | 12012203 | 15 ASIMO NAGET KOMB 250G X 20 | 20 | 205 | 10557
26 | 12012501 | 15 AKUMO CHIKEN NUGET 20X250G | 20 | 250 | 13750
27 | 12012502 | 15 AKUMO CHIKEN NUGET 10X500G | 10 | 500 | 26325
28 | 12020102 | 15 FS SPICY WING 12X400GR | 12 | 400 | 50750
29 | 12030101 | 15 FS STIKIE 12X400GR | 12 | 400 | 43575
30 | 12030102 | 15 FS STIKIE 200GX24 | 24 | 200 | 23400
31 | 12030403 | 15 GOLDEN FS STIKIE | 10 | 500 | 61080
32 | 12030802 | 15 OKEY CHIKEN STIK 500GR | 10 | 500 | 24200
33 | 12032502 | 15 AKUMO CHIKEN STIK 10X500G | 10 | 500 | 26325
34 | 12040101 | 15 FS SCHNITZEL 400GRX12 | 12 | 400 | 48125
35 | 12040102 | 15 FS CRISPYBUBLE KATSU400GX12 | 12 | 400 | 54050
36 | 12050103. | 15 FS FRIED CHICK 400GX12 | 12 | 400 | 38575
37 | 12060104 | 15 FS KARAGE 12X400G | 12 | 400 | 47125
38 | 12060105 | 15 FS SPICY KARAGE 12X400 GR | 12 | 400 | 47125
39 | 12070101 | 15 FS POK POK 12X400G | 12 | 400 | 47825
40 | 12080101 | 15 FS SPICY CHICK 12X400GR | 12 | 400 | 44275
41 | 12080201 | 15 FIESTA DS SPICY CHICK 500GR | 10 | 500 | 55325
42 | 12130102 | 15 FS CRISPY BURGER 360GX20 | 20 | 360 | 39375
43 | 12130504 | 15 FS CHAM BURGER 315GX20 | 20 | 315 | 20400
44 | 12150201 | 15 FS DS CRISPY CRUCH 10X300 | 10 | 300 | 28300
45 | 12150501 | 15 CHAMP CRUNCY HOTZ 10X300 | 10 | 300 | 22190
46 | 12240102 | 15 FS CHEESY ITALI RICE 400GX12 | 12 | 400 | 35375
47 | 12240103 | 15 FS YAKINIKU RICE 400GX12 | 12 | 400 | 35375
